施工類型,施工單位,施工路段,起日,迄日,區名,里名,經度,緯度
道路更新,新工處,民權東路4段,2024-04-15 00:00:00+08,2024-05-31 23:59:59+08,松山區,東榮里,121.55689228438861,25.06198874726527
道路更新,新工處,113年度士林區中山北路7段(天母圓環至中山北路7段232巷)路面更新工程,2024-08-12 00:00:00+08,2024-09-02 23:59:59+08,士林區,天母里,121.53336526550312,25.127697156981224
道路更新,新工處,113年度中正區杭州南路2段(信義路2段至羅斯福路2段)路面及附屬設施更新工程,2024-08-01 00:00:00+08,2024-10-14 23:59:59+08,中正區,南福里,121.5204075265305,25.029435011106287
道路更新,新工處,113年度萬華區西園路1、2段(和平西路3段至環河南路3段)路面及附屬設施更新工程,2024-08-01 00:00:00+08,2024-11-11 23:59:59+08,萬華區,和德里,121.48967402125226,25.027357011580534
人行道更新,新工處,士林區泰北高中公車站周邊人行道更新工程,2024-07-01 00:00:00+08,2024-07-25 23:59:59+08,士林區,福德里,121.5198273,25.0928568
道路更新,新工處,內湖路二段442號,2023-10-18 00:00:00+08,2024-06-03 23:59:59+08,內湖區,內湖里,121.59234998821859,25.083489988503743
道路更新,新工處,萬芳路,2024-07-01 00:00:00+08,2024-07-28 23:59:59+08,文山區,萬芳里,121.5707332624512,24.99819777791471
道路更新,新工處,113年度士林區中山北路5段(中正路至中山北路5段704巷)路面更新工程,2024-05-17 00:00:00+08,2024-05-31 23:59:59+08,士林區,福志里,121.52755012814535,25.097807202128486
人行道更新,新工處,中正區中山南路與常德街交叉口,2024-05-06 00:00:00+08,2024-05-20 23:59:59+08,中正區,黎明里,121.5180294129616,25.04081059481986
道路更新,新工處,市民大道4段,2024-06-03 00:00:00+08,2024-06-22 23:59:59+08,大安區,光武里,121.54694777720452,25.04493735101585
道路更新,新工處,113年度松山區健康路（健康路15巷至光復北路）路面更新工程,2024-05-01 00:00:00+08,2024-05-19 23:59:59+08,松山區,吉祥里,121.5580499831392,25.049693987262287
道路更新,新工處,113年度文山區秀明路1段199號旁計畫道路擋土牆上方土石崩落改善工程,2024-04-25 00:00:00+08,2024-05-04 23:59:59+08,文山區,木柵里,121.56954199148788,24.99191798967864
道路更新,新工處,113年度文山區景豐街48巷25弄5號後方邊坡保護工程,2024-04-25 00:00:00+08,2024-05-04 23:59:59+08,文山區,興豐里,121.54653299671901,25.0010859896434
道路更新,新工處,113年度文山區萬美街1、2段(和平東路至萬美街2段21巷)路面更新工程,2024-05-26 00:00:00+08,2024-06-20 23:59:59+08,文山區,興昌里,121.56016939518258,25.00553959861321
道路更新,新工處,保儀路74巷,2024-05-01 00:00:00+08,2024-05-20 23:59:59+08,文山區,木柵里,121.56850805118057,24.987460863889908
人行道更新,新工處,研究院路2段61巷3弄,2024-04-30 00:00:00+08,2024-06-08 23:59:59+08,南港區,中研里,121.61604607077989,25.044375848383165
道路更新,新工處,興隆路2段233巷6弄,2024-05-01 00:00:00+08,2024-05-18 23:59:59+08,文山區,興邦里,121.55076205106951,25.00237079544924
道路更新,新工處,光輝路87巷,2024-05-01 00:00:00+08,2024-05-21 23:59:59+08,文山區,樟林里,121.55732772407505,24.985210041699553
